Property reference number,Address,Postcode,Latitude,Longitude,Ratepayer,Billing Address,Rateable value,VOA code,VOA Description,Liability start date,Reliefs Granted,Discretionary Relief %,Discretionary Relief St Date,Mandatory Relief %,Mandatory Relief Start Date,Exemption_Granted,Exemption Start Date,Empty Rates,Empty Rates Start Date,Full Sbr,Buffer Sbr,Lower Multiplier,Occupied,Empty from
64400737,"Car Parking Space No 12, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2015-06-18,EX,,,,,Rateable Value below threshold,2015-09-18,,,,,,N,2015-09-18
64400738,"Car Parking Space No 13, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2015-06-18,EX,,,,,Rateable Value below threshold,2015-09-18,,,,,,N,2015-09-18
64400739,"Car Parking Space No 14, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2015-06-18,EX,,,,,Rateable Value below threshold,2015-09-18,,,,,,N,2015-09-18
64400740,"Car Parking Space No 15, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,Trustees Of B Holmes Discretionary Settlement,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2015-07-15,SBR,,,,,,,,,,,Y,Y,
64400741,"Car Parking Space No 16, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2019-04-01,SBR,,,,,,,,,,,Y,Y,
64400742,"Car Parking Space No 17, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2016-11-03,EX,,,,,Rateable Value below threshold,2017-02-03,,,,,,N,2017-02-03
64400743,"Car Parking Space No 26, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2015-06-18,EX,,,,,Rateable Value below threshold,2015-09-18,,,,,,N,2015-09-18
64400744,"Car Parking Space No 27, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2018-02-15,EX,,,,,Rateable Value below threshold,2018-05-15,,,,,,N,2018-05-15
64400745,"Car Parking Space No 3, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2019-04-05,EX,,,,,Rateable Value below threshold,2019-07-05,,,,,,N,2019-07-05
64400746,"Car Parking Space No 4, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2015-06-18,EX,,,,,Rateable Value below threshold,2019-07-06,,,,,,N,2019-07-06
64400747,"Car Parking Space No 5, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2016-09-29,EX,,,,,Empty Property - RV < 15000,2016-12-29,,,,,,N,2016-12-29
64400748,"Car Parking Space No 6, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2018-07-23,EX,,,,,Empty Property - RV < 15000,2018-10-23,,,,,,N,2018-10-23
64400749,"Car Parking Space No 7, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2015-06-18,EX,,,,,Rateable Value below threshold,2015-09-18,,,,,,N,2015-09-18
64400750,"Car Parking Space No 8, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2018-02-15,EX,,,,,Rateable Value below threshold,2018-05-15,,,,,,N,2018-05-15
64400751,"Car Parking Space No 9, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2018-02-15,EX,,,,,Rateable Value below threshold,2018-05-15,,,,,,N,2018-05-15
64404700,"Brooke House, 7 Brooke Green, Hipperholme, Halifax             HX3 8ES",HX3 8ES,53.72615,-1.8165,Accurating Ltd,,2700,S167,Shop and Premises,2015-06-02,SBR,,,,,,,,,Y,,,Y,
64408704,"Squire Hill Quarries, Brookfoot Lane, Halifax, HX3 9SX",HX3 9SX,53.70664,-1.80116,W S Crossley [York Stone] Ltd,"David I Throp, Westfields, West Lane, Southowram, Halifax, HX3 9RG",420,Q001,Quarry And Premises,1995-07-01,SBR,,,,,,,,,,,Y,Y,
64408706,"Brookfoot Lane Works, Brookfoot Lane, Southowram, Halifax              HX3 9SX",HX3 9SX,53.70664,-1.80116,Marshalls Mono Ltd,"Adam Leach Group Prop Manager, Marshalls Plc, Landscape House, Premier Way, Lowfields Business Park, Elland, HX5 9HT",615000,C078,Concrete Product Works And Premises,2004-11-01,,,,,,,,,,,,,Y,
64408707,"Brier Lodge & Grove Quarries, Brookfoot Lane, Southowram, Halifax              HX3 9SX",HX3 9SX,53.70664,-1.80116,Marshalls Mono Ltd,"Adam Leach Group Prop Manager, Marshalls Plc, Landscape House, Premier Way, Lowfields Business Park, Elland, HX5 9HT",58500,Q001,Quarry And Premises,2004-11-01,,,,,,,,,,,,,Y,
64412701,"Standeven House, Broomfield Avenue, Halifax, HX3 0JE",HX3 0JE,53.70546,-1.87241,,,29500,S100,Sports Ground And Premises,1990-04-01,DRR,100,2020-04-01,,,,,,,,,,Y,
64424001,"Unit 1 Netherton Works, Brow Lane, Holmfield, Halifax              HX2 9TU",HX2 9TU,53.75466,-1.87341,Sidhil Ltd,"Fao Mr J Sidhill, Sidhil Business Park, Holmfield, Halifax, HX2 9TN",38500,W004,Warehouse And Premises,2011-03-07,SBR,,,,,,,,,,,Y,Y,
64424703,"Unit 2 Netherton Works, Brow Lane, Holmfield, Halifax              HX2 9TU",HX2 9TU,53.75466,-1.87341,Sidhil Ltd,"Fao Mr J Sidhill, Sidhil Business Park, Holmfield, Halifax, HX2 9TN",19500,W004,Warehouse And Premises,2012-07-01,SBR,,,,,,,,,,,Y,Y,
